DATUMVOLEB;OBVOD;CKAND;VSTRANA;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;HLASY_K1;PROC_K1;URIZ_PR_K1;ZVOLEN_K1;LOS_K1;HLASY_K2;PROC_K2;URIZ_PR_K2;ZVOLEN_K2;LOS_K2;NAZEV_VS
20121012;80;6;643;"Jana";"Juøenèáková";"Ing.";"";49;"senátorka, ekonomka";"Rokytnice";556980;166;166;"A";4736;12.18;12.18169658933072;0;0;0;0;0;0;0;"STAROSTOVÉ A NEZÁVISLÍ a Zlínské hnutí nezávislıch"
20121012;80;7;53;"František";"Hubáèek";"PhDr.";"";53;"starosta";"Luhaèovice";585459;53;53;"A";3160;8.12;8.12799012294871;0;0;0;0;0;0;0;"Obèanská demokratická strana"
20140110;80;1;792;"Pavel";"Talaš";"MUDr.";"";68;"lékaø";"Napajedla";585513;99;792;"A";2967;12.92;12.92641484773232;0;0;0;0;0;0;0;"Úsvit pøímé demokracie Tomia Okamury"
20140110;80;2;88;"Jana";"Juøenèáková";"Ing.";"";51;"daòovı poradce, pøeds. SMS ÈR";"Rokytnice";556980;99;88;"A";2949;12.84;12.84799372631028;0;0;0;0;0;0;0;"NEZÁVISLÍ"
20140110;80;3;47;"Radomír";"Rafaja";"";"";69;"pracovník v pohostinství";"Zlín";585068;47;47;"A";1686;7.34;7.34544503986407;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
20140110;80;4;720;"Ludìk";"Madìra";"Ing.";"";70;"IT v dùchodu";"Zlín";585068;99;720;"A";359;1.56;1.56406569947283;0;0;0;0;0;0;0;"Èeská pirátská strana"
20140110;80;5;53;"Libor";"Lukáš";"";"";52;"stavební technik";"Pitín";592498;53;53;"A";3792;16.52;16.52071624624232;2;0;5925;36.83;36.83327116747482;0;0;"Obèanská demokratická strana"
20140110;80;6;1;"Patrik";"Kunèar";"Bc.";"";40;"starosta";"Uherskı Brod";592731;1;1;"A";5363;23.36;23.36513745479893;2;0;10161;63.16;63.16672883252517;1;0;"Køesan.a demokrat.unie-Èeskosl.strana lidová"
20140110;80;7;643;"Zuzana";"Zdráhalová Lapèíková";"Mgr.";"";45;"hudebnice, pedagoka";"Topolná";592692;99;166;"A";1613;7.02;7.02740382520803;0;0;0;0;0;0;0;"STAROSTOVÉ A NEZÁVISLÍ a Zlínské hnutí nezávislıch"
20140110;80;8;714;"Jiøí";"Remeš";"";"";45;"OSVÈ, realitní èinnost";"Otrokovice";585599;714;714;"A";529;2.3;2.30470962401429;0;0;0;0;0;0;0;"Strana svobodnıch obèanù"
20140110;80;9;7;"Milena";"Kovaøíková";"Mgr.";"";55;"pøeds. Vıboru Zastup.ZL kraje";"Brumov-Bylnice";585114;7;7;"A";3695;16.09;16.0981135363569;0;0;0;0;0;0;0;"Èeská strana sociálnì demokratická"
20140110;80;10;2;"Anna";"Grabowská";"";"";54;"expert ruèního písma";"Praha 1";500054;2;2;"E";0;0;0;0;0;0;0;0;0;0;"Èeská strana národnì sociální"
20140919;22;1;227;"Ivana";"Cabrnochová";"";"";40;"Místostarostka MÈ P-10, pedagog zdrav. postienıch";"Praha 10";500224;5;5;"A";2092;15.83;15.83289184893665;2;0;3664;50.91;50.917176209005;1;0;"Koalice SZ a ÈSSD"
20140919;22;2;714;"Jiøí";"Payne";"RNDr.";"";58;"jadernı fyzik";"Praha";1;714;714;"A";977;7.39;7.39423295239536;0;0;0;0;0;0;0;"Strana svobodnıch obèanù"
20140919;22;3;53;"Oldøich";"Chodìra";"JUDr. PhDr.";"";65;"advokát";"Praha 10";500224;53;53;"A";1564;11.83;11.83682736698705;0;0;0;0;0;0;0;"Obèanská demokratická strana"
20140919;22;4;1094;"Lubomír";"Chudoba";"PharmDr.";"";51;"lékárník, prezident Èeské lékárnické komory";"Praha";1;99;1;"A";1293;9.78;9.78581699841065;0;0;0;0;0;0;0;"VLASTA na radnici - Chudoba do Senátu"
20140919;22;5;659;"Renata";"Sabongui";"Mgr.";"";54;"VŠ pedagog, døíve vedoucí zahr. odd. Nár. divadla";"Praha";1;99;721;"A";2055;15.55;15.55286460304245;0;0;0;0;0;0;0;"TOP 09 a Starostové"
20140919;22;6;47;"Milan";"Neubert";"RNDr.";"";59;"øeditel vızkumné organizace";"Praha";1;74;47;"A";954;7.22;7.22016196170438;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
20140919;22;7;759;"Pavel";"Jánskı";"";"";67;"ekonom";"Praha";1;99;759;"A";43;.32;.32543706955271;0;0;0;0;0;0;0;"Èeská Suverenita"
20140919;22;8;1043;"Antonín";"Panenka";"";"";65;"fotbalovı internacionál";"Nespeky";530263;99;1043;"A";1776;13.44;13.44130780292136;0;0;0;0;0;0;0;"NEZÁVISLÍ PRO PRAHU 10 - HNUTÍ PRO LEPŠÍ DESÍTKU"
20140919;22;9;787;"Miroslav";"Kos";"Ing.";"";52;"ivnostník";"Praha 10";500224;99;787;"A";399;3.01;3.01975327329145;0;0;0;0;0;0;0;"Sdruení nezávislıch obèanù Prahy 13"
20140919;22;10;768;"Jana";"Dušková";"prof. MUDr.";"DrSc., MBA";61;"VŠ uèitel";"Praha 10";500224;99;768;"A";2060;15.59;15.59070612275788;2;0;3532;49.08;49.08282379099499;0;0;"ANO 2011"
20141010;3;1;724;"Jaroslav";"Bradáè";"Ing.";"";59;"technik";"Skalná";554812;724;724;"A";1092;3.53;3.53203739043244;0;0;0;0;0;0;0;"Strana Práv Obèanù"
20141010;3;2;768;"Jiøí";"Dufka";"Ing.";"";53;"zemìdìlskı podnikatel";"Chodskı Újezd";560910;768;768;"A";6759;21.86;21.86175890286897;2;0;5336;44.64;44.64524765729585;0;0;"ANO 2011"
20141010;3;3;714;"Václav";"Jakl";"Ing.";"";59;"ivnostník - reklama, propagace, DTP";"Cheb";554481;714;714;"A";1529;4.94;4.94549923990037;0;0;0;0;0;0;0;"Strana svobodnıch obèanù"
20141010;3;4;47;"Pavel";"Hojda";"Ing.";"";61;"oborovı specialista";"Cheb";554481;47;47;"A";4379;14.16;14.16372869295209;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
20141010;3;5;720;"Libor";"Špaèek";"";"BSc.,MSc.,Ph.D.";62;"vysokoškolskı vìdeckı pracovník";"Prostiboø";541486;720;720;"A";1821;5.88;5.88996345052883;0;0;0;0;0;0;0;"Èeská pirátská strana"
20141010;3;6;659;"Vítìzslav";"Padevìt";"RNDr.";"";56;"øeditel firmy";"Velká Hleïsebe";539279;721;721;"A";2181;7.05;7.05437138144063;0;0;0;0;0;0;0;"TOP 09 a Starostové"
20141010;3;7;7;"Miroslav";"Nenutil";"Mgr.";"";56;"senátor";"Støíbro";561215;7;7;"A";8784;28.41;28.41155351424782;2;0;6616;55.35;55.35475234270414;1;0;"Èeská strana sociálnì demokratická"
20141010;3;8;53;"Jaroslav";"Koèvara";"RNDr. Ing.";"";59;"øeditel gymnázia";"Cheb";554481;53;53;"A";4372;14.14;14.14108742762881;0;0;0;0;0;0;0;"Obèanská demokratická strana"
20141010;6;1;47;"Eva";"Kašová";"MUDr.";"";62;"lékaøka";"Rakovník";541656;99;47;"A";6116;14.76;14.76652663093341;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
20141010;6;2;80;"Jiøí";"Loskot";"";"";58;"podnikatel, pøedseda Svazku obcí";"Mšec";542105;166;80;"A";1819;4.39;4.39181032401371;0;0;0;0;0;0;0;"Nezávislí kandidáti"
20141010;6;3;768;"Zdeòka";"Hamousová";"Mgr.";"";53;"starostka mìsta atec";"atec";566985;99;768;"A";10685;25.79;25.7979622386402;2;0;10837;52.31;52.31979915994785;1;0;"ANO 2011"
20141010;6;4;1036;"Ivo";"Trešl";"MUDr.";"";42;"chirurg - traumatolog";"Rakovník";541656;1036;1036;"A";3945;9.52;9.52484427060698;0;0;0;0;0;0;0;"Mìsto pro vás"
20141010;6;5;1077;"Leo";"Steiner";"Mgr.";"";43;"uèitel, manaer";"Louny";565971;99;1;"A";2278;5.5;5.50002414409194;0;0;0;0;0;0;0;"Pro! Leo"
20141010;6;6;88;"Vladimír";"Záhorskı";"MUDr.";"";61;"dìtskı lékaø";"Podboøany";566616;99;88;"A";1306;3.15;3.15321840745569;0;0;0;0;0;0;0;"NEZÁVISLÍ"
20141010;6;7;7;"Marcel";"Chládek";"PhDr.";"MBA";46;"senátor";"Rakovník";541656;7;7;"A";11134;26.88;26.88203196677772;2;0;9876;47.68;47.68020084005214;0;0;"Èeská strana sociálnì demokratická"
20141010;6;8;53;"Ludìk";"Štíbr";"PaedDr.";"";55;"støedoškolskı uèitel";"Rakovník";541656;53;53;"A";4135;9.98;9.98358201748032;0;0;0;0;0;0;0;"Obèanská demokratická strana"
20141010;9;1;1003;"Michal";"Drabík";"";"";59;"politickı vìzeò-invalidní dùchodce";"Plzeò";2;99;1003;"A";702;2.23;2.23019982844616;0;0;0;0;0;0;0;"Alternativa pro Plzeò"
20141010;9;2;47;"Karel";"Kvit";"RSDr. Ing.";"";63;"bezpeènostní pracovník";"Plzeò";2;47;47;"A";2820;8.95;8.9589223877752;0;0;0;0;0;0;0;"Komunistická strana Èech a Moravy"
